Year;wind_power
1990;0
1991;0
1992;0
1993;0
1994;0
1995;0
1996;0
1997;0
1998;0
1999;0
2000;0
2001;0
2002;5
2003;4.5
2004;6
2005;9
2006;15
2007;16
2008;19
2009;22
2010;37
2011;70
2012;90
2013;92
2014;101
2015;110
2016;109
