Year,Wood,Hydraulic,Industrial waste,Oil,Coal,Gas,Nuclear,Renewable energies
2000,2.53,12.3,4.11,0.52,48.38,9.2,24.58,0.67
2001,2.63,13.41,4.09,0.53,48.29,9.35,24.32,0.7
2002,2.58,11.81,4.33,0.5,46.97,9.35,25.19,0.72
2003,2.71,11.55,4.28,0.5,46.6,9.69,24.91,0.75
2004,2.69,11.1,4.31,0.48,46.56,9.96,24.35,0.77
2005,2.82,10.44,4.54,0.53,47.21,10.31,21.27,0.85
2006,2.78,10.08,4.74,0.56,45.78,9.74,24.62,0.87
2007,2.77,11.54,4.87,0.64,44.81,9.72,25.33,0.97
2008,3.04,11.56,4.69,0.56,44.98,10.05,24.38,1.08
2009,3.24,11.66,4.62,0.54,44.73,9.84,24.86,1.19
2010,3.39,11.44,4.64,0.53,44.43,10.69,23.34,1.38
2011,3.2,10.85,4.95,0.52,43.29,9.97,24.88,1.5
2012,3.54,12.6,4.95,0.46,43.36,10.75,23.3,1.73
2013,3.81,12.23,4.71,0.49,43.24,11.07,23.28,1.91
2014,3.47,12.77,5.13,0.53,41.73,10.08,25.95,2.11
