Year;sun_power
1990;0.7
1991;0.9
1992;0.9
1993;1
1994;1.2
1995;1.5
1996;3
1997;6
1998;8
1999;11
2000;14
2001;17
2002;20
2003;24
2004;26
2005;30
2006;40
2007;55
2008;70
2009;80
2010;100
2011;180
2012;300
2013;500
2014;850
2015;1100
2016;1320
