,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Wood and charcoal in TJ,17190.0,17190.0,17190.0,17190.0,16830.0,14930.0,12590.0,13580.0,18330.0,19750.0,17490.0,16760.0,18990.0,21880.0,21070.0,19930.0,20010.0,19110.0,19420.0,20060.0,19310.0,20390.0,19260.0,19000.0,19060.0,19830.0,18100.0,18020.0,17950.0,18160.0,23120.0,31270.0,30830.0,31270.0,30260.0,32920.0,34230.0,22310.0,23030.0,20730.0,21720.0,21550.0,21320.0,19940.0,18280.0,18120.0,17250.0,17820.0,16560.0,15110.0,14520.0,14170.0,16150.0,16180.0,16220.0,16830.0,14730.0,14290.0,13630.0,12310.0,10110.0,9670.0,9230.0,10110.0,8350.0,8350.0,8350.0,8350.0,7910.0,9010.0,26280.0,25480.0,24930.0,25340.0,26560.0,27030.0,26290.0,26380.0,25010.0,24870.0,28640.0,31540.0,30570.0,30640.0,28570.0,30450.0,33440.0,29420.0,29930.0,29710.0,28030.0,29880.0,28750.0,30750.0,30640.0,31880.0,32320.0,31450.0,35590.0,37120.0,40000.0,35910.0,40380.0,44370.0,38500.0
Hydraulic force in TJ,4500.0,5400.0,6120.0,6660.0,7020.0,8100.0,8820.0,9720.0,10620.0,10440.0,10080.0,9540.0,10800.0,11880.0,13320.0,14400.0,15840.0,17100.0,18180.0,19080.0,18720.0,17740.0,17110.0,18020.0,19300.0,20940.0,22220.0,24870.0,24830.0,26830.0,28760.0,29300.0,29060.0,30930.0,32140.0,34280.0,36150.0,34120.0,38170.0,33510.0,39100.0,44440.0,47060.0,47820.0,47700.0,55070.0,54300.0,55560.0,63850.0,62610.0,73810.0,77490.0,76270.0,81180.0,79570.0,89270.0,100070.0,107630.0,105990.0,98380.0,112580.0,99230.0,91000.0,103770.0,102830.0,122310.0,95840.0,130640.0,117040.0,116440.0,120750.0,129950.0,133330.0,129610.0,111140.0,117640.0,120920.0,127480.0,131180.0,109750.0,110430.0,119100.0,121410.0,130510.0,142400.0,128150.0,106910.0,125260.0,123460.0,146220.0,136260.0,152140.0,131450.0,131200.0,126420.0,117930.0,117210.0,130940.0,135210.0,133690.0,134820.0,121660.0,143660.0,142460.0,141510.0
Industrial waste and scrap in TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,10060.0,10100.0,14040.0,16200.0,16040.0,17920.0,20390.0,22570.0,22680.0,22790.0,22970.0,23200.0,24430.0,24640.0,29330.0,29530.0,32820.0,33590.0,35630.0,37660.0,41670.0,45560.0,46360.0,48150.0,48650.0,49120.0,51260.0,55090.0,55260.0,54800.0,52910.0,54640.0,55480.0,56390.0,54830.0,56880.0
Coal in TJ,83570.0,92020.0,93490.0,97890.0,95410.0,96070.0,92390.0,75450.0,70020.0,53180.0,70220.0,54570.0,65730.0,81870.0,76530.0,79590.0,79260.0,89590.0,89060.0,102530.0,93780.0,96590.0,95580.0,91430.0,90880.0,89210.0,91970.0,95520.0,96210.0,96250.0,81470.0,71610.0,66790.0,59450.0,49650.0,47010.0,54940.0,64830.0,69400.0,69220.0,77000.0,81540.0,84230.0,71450.0,81520.0,84990.0,91280.0,84820.0,77010.0,78150.0,77990.0,73020.0,78410.0,78870.0,63900.0,53400.0,44150.0,37240.0,35200.0,31840.0,27320.0,18450.0,15610.0,14820.0,12780.0,9580.0,9000.0,10500.0,9450.0,9770.0,14300.0,21150.0,18710.0,16330.0,20980.0,21070.0,18130.0,16870.0,14400.0,14890.0,14890.0,12650.0,8760.0,7340.0,7430.0,7970.0,5960.0,4590.0,3810.0,3960.0,5770.0,6030.0,5560.0,5710.0,5420.0,6040.0,6520.0,7300.0,6560.0,6190.0,6210.0,5840.0,5270.0,5670.0,5910.0
Crude oil and petroleum products in TJ,740.0,960.0,1010.0,1030.0,670.0,500.0,180.0,310.0,300.0,640.0,1860.0,1350.0,2650.0,3070.0,3520.0,4480.0,4950.0,5990.0,7320.0,8840.0,10000.0,11810.0,14280.0,14850.0,16340.0,16350.0,15740.0,15490.0,16310.0,16730.0,10940.0,4210.0,3210.0,2700.0,2280.0,1260.0,15520.0,29530.0,30540.0,35400.0,43820.0,47300.0,51260.0,56140.0,68920.0,79920.0,103240.0,102470.0,119370.0,128060.0,152500.0,171620.0,208300.0,255700.0,280950.0,320060.0,335900.0,365010.0,405610.0,447630.0,515140.0,546080.0,560700.0,605700.0,552580.0,525150.0,545820.0,532560.0,536100.0,515200.0,513220.0,508680.0,484800.0,494230.0,501010.0,509060.0,522150.0,522960.0,525980.0,518550.0,532260.0,561010.0,564440.0,533440.0,522270.0,529710.0,539860.0,532340.0,551940.0,550400.0,535790.0,547820.0,522710.0,529240.0,530420.0,533330.0,532310.0,508420.0,525990.0,512710.0,523490.0,485280.0,494270.0,503880.0,462560.0
Gas in TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1540.0,3720.0,4720.0,6390.0,13460.0,21680.0,22630.0,25840.0,28350.0,31800.0,36280.0,39140.0,41340.0,45450.0,50690.0,53070.0,54350.0,58270.0,58680.0,63820.0,68310.0,76680.0,80600.0,84560.0,83410.0,91920.0,99500.0,96060.0,98880.0,102450.0,101880.0,106040.0,104080.0,110010.0,113490.0,116510.0,113290.0,110310.0,117530.0,112810.0,126010.0,111770.0,122520.0,129030.0,111770.0
Nuclear fuels in TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6140.0,20180.0,20110.0,50730.0,64320.0,73420.0,80630.0,82480.0,84310.0,87220.0,122650.0,149050.0,157770.0,155740.0,161680.0,189770.0,232160.0,232400.0,236740.0,234570.0,235010.0,243250.0,236230.0,241320.0,240320.0,250730.0,256210.0,258750.0,261500.0,265830.0,256610.0,272170.0,275920.0,280280.0,282880.0,277440.0,240220.0,286300.0,287390.0,285080.0,284930.0,274960.0,278840.0,265580.0,271320.0,287670.0
Other renewable energies in TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4580.0,5140.0,5270.0,5620.0,5730.0,6160.0,6670.0,6630.0,7090.0,7360.0,7440.0,7920.0,8010.0,8520.0,8800.0,9560.0,10080.0,10950.0,12610.0,13660.0,16300.0,16800.0,19700.0,22290.0,23440.0
"Electricity, balance import / export in TJ",-360.0,-430.0,-430.0,-470.0,-580.0,-1010.0,-1070.0,-1140.0,-1180.0,-1170.0,-1360.0,-1180.0,-1670.0,-1880.0,-2040.0,-2350.0,-3070.0,-3460.0,-3720.0,-3560.0,-3440.0,-3480.0,-3340.0,-3540.0,-4230.0,-5090.0,-5440.0,-5400.0,-5440.0,-5810.0,-6240.0,-5550.0,-5300.0,-4890.0,-4110.0,-2370.0,-2130.0,-1560.0,-1220.0,-1000.0,-2310.0,-2380.0,-3550.0,-2940.0,-1080.0,-4050.0,-1850.0,-1130.0,-6740.0,-3940.0,-9060.0,-9790.0,-4530.0,-6120.0,-1610.0,-8180.0,-16990.0,-22220.0,-18870.0,-8980.0,-21690.0,-3890.0,-1730.0,-12600.0,-11630.0,-35010.0,-6900.0,-36660.0,-19420.0,-25370.0,-29450.0,-38560.0,-38970.0,-33280.0,-16900.0,-31320.0,-30910.0,-34030.0,-34640.0,-9060.0,-7590.0,-10060.0,-15440.0,-25920.0,-42640.0,-26180.0,-3400.0,-24310.0,-21430.0,-36820.0,-25450.0,-37600.0,-16230.0,-11200.0,-2530.0,22860.0,9730.0,-7430.0,-4090.0,-7760.0,1870.0,9310.0,-7920.0,-8620.0,-19760.0
