Power plant,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 1,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Beznau 2,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Gosgen,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Leibstadt,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg,Muhleberg
Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Production utilisee (%),83.3,81.2,80.3,70.3,87.5,92.6,88.3,84.5,99.3,88.4,78.5,96.1,90.7,95.6,87.2,96.6,91.9,95.8,91.7,95.3,83.1,95.2,84.4,95.0,90.8,85.5,84.9,76.6,85.5,99.6,83.3,88.9,98.7,86.7,70.7,95.1,79.8,93.9,91.1,96.5,87.5,95.7,90.5,95.2,85.8,88.6,84.9,86.5,89.1,94.8,86.7,86.9,89.8,90.0,93.2,92.5,93.0,93.0,92.3,88.6,91.7,92.4,92.5,94.0,94.1,89.3,95.4,96.1,93.5,95.1,93.1,91.7,93.4,74.5,91.9,87.3,81.4,86.7,84.6,80.7,85.1,85.2,86.3,85.1,88.0,87.7,90.4,90.9,91.2,84.9,56.5,91.8,92.5,91.0,92.0,86.1,91.0,75.4,90.7,88.5,88.8,86.4,86.1,87.9,85.3,85.8,85.3,82.4,85.9,87.2,90.7,89.1,91.3,88.4,93.6,91.9,92.2,92.6,94.8,90.4,91.1,76.0,91.3,90.0,92.6
