Year,Coal
1910,8.4e+04
1911,9.2e+04
1912,9.3e+04
1913,9.8e+04
1914,9.5e+04
1915,9.6e+04
1916,9.2e+04
1917,7.5e+04
1918,7.0e+04
1919,5.3e+04
1920,7.0e+04
1921,5.5e+04
1922,6.6e+04
1923,8.2e+04
1924,7.7e+04
1925,8.0e+04
1926,7.9e+04
1927,9.0e+04
1928,8.9e+04
1929,1.0e+05
1930,9.4e+04
1931,9.7e+04
1932,9.6e+04
1933,9.1e+04
1934,9.1e+04
1935,8.9e+04
1936,9.2e+04
1937,9.6e+04
1938,9.6e+04
1939,9.6e+04
1940,8.1e+04
1941,7.2e+04
1942,6.7e+04
1943,5.9e+04
1944,5.0e+04
1945,4.7e+04
1946,5.5e+04
1947,6.5e+04
1948,6.9e+04
1949,6.9e+04
1950,7.7e+04
1951,8.2e+04
1952,8.4e+04
1953,7.1e+04
1954,8.2e+04
1955,8.5e+04
1956,9.1e+04
1957,8.5e+04
1958,7.7e+04
1959,7.8e+04
1960,7.8e+04
1961,7.3e+04
1962,7.8e+04
1963,7.9e+04
1964,6.4e+04
1965,5.3e+04
1966,4.4e+04
1967,3.7e+04
1968,3.5e+04
1969,3.2e+04
1970,2.7e+04
1971,1.8e+04
1972,1.6e+04
1973,1.5e+04
1974,1.3e+04
1975,9.6e+03
1976,9.0e+03
1977,1.0e+04
1978,9.4e+03
1979,9.8e+03
1980,1.4e+04
1981,2.1e+04
1982,1.9e+04
1983,1.6e+04
1984,2.1e+04
1985,2.1e+04
1986,1.8e+04
1987,1.7e+04
1988,1.4e+04
1989,1.5e+04
1990,1.5e+04
1991,1.3e+04
1992,8.8e+03
1993,7.3e+03
1994,7.4e+03
1995,8.0e+03
1996,6.0e+03
1997,4.6e+03
1998,3.8e+03
1999,4.0e+03
2000,5.8e+03
2001,6.0e+03
2002,5.6e+03
2003,5.7e+03
2004,5.4e+03
2005,6.0e+03
2006,6.5e+03
2007,7.3e+03
2008,6.6e+03
2009,6.2e+03
2010,6.2e+03
2011,5.8e+03
2012,5.3e+03
2013,5.7e+03
2014,5.9e+03
